IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE_EN_CM;HAUTEUR_EN_M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE_OU_CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo_point
113547.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;;0420A1001;610.0;25.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8227147039,2.33868841423
136794.0;Pterocarya;Pterocarya;fraxinifolia;JARDIN DU RANELAGH;Arbre;Jardin;PARIS 16E ARRDT;16-40;;40084;447.0;28.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8600333815,2.26913461956
123848.0;Mûrier;Morus;alba;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;Arbre;Jardin;PARIS 4E ARRDT;;;103001;105.0;7.0;Adulte;Inconnue;;2008-12-31T23:00:00-02:00;OUI;48.8578670722,2.34811930339
116886.0;Noisetier de Byzance;Corylus;colurna;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;Arbre;Jardin;PARIS 3E ARRDT;03/mai;;102007;226.0;25.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8648374901,2.36062553598
2002352.0;If;Taxus;baccata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-21;;701001;246.0;15.0;Adulte;Inconnue;;1771-12-31T20:15:33-03:54;OUI;48.8709369341,2.24803445349
101752.0;Sophora;Sophora;japonica;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19/jun;;I1090024;408.0;12.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8814687366,2.38368012582
127998.0;Frêne;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;Arbre;Jardin;PARIS 19E ARRDT;19/jan;;509;385.0;24.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8819364512,2.39826376533
112542.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus du Funiculaire;;202004;419.0;28.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8853019887,2.34272089361
102027.0;Marronnier;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;G0380001;330.0;22.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8800797215,2.38570950523
113597.0;Chêne;Quercus;frainetto;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;Arbre;Jardin;PARIS 15E ARRDT;;;106001;180.0;15.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8396441672,2.30097558498
